date,trades_count,gross_pnl,charges,net_pnl,equity,daily_return_pct
2024-01-09,5,-335.58,73.11,-408.69,47793.49,-0.85
2024-01-10,5,-52.83,72.9,-125.73,47667.76,-0.26
2024-01-11,5,41.76,72.22,-30.46,47637.3,-0.06
2024-01-12,5,-27.0,71.99,-98.99,47538.31,-0.21
2024-01-15,5,-331.89,72.03,-403.92,47134.39,-0.85
2024-01-16,5,0.0,72.01,-72.01,47062.38,-0.15
2024-01-17,5,0.0,71.89,-71.89,46990.49,-0.15
2024-01-18,5,0.0,71.56,-71.56,46918.93,-0.15
2024-01-19,5,0.0,71.14,-71.14,46847.79,-0.15
2024-01-23,5,-325.8,68.87,-394.67,46453.12,-0.84
2024-01-24,5,0.0,69.26,-69.26,46383.86,-0.15
2024-01-25,5,0.0,70.69,-70.69,46313.17,-0.15
2024-01-29,5,0.0,70.49,-70.49,46242.68,-0.15
2024-01-30,5,0.0,70.36,-70.36,46172.32,-0.15
2024-01-31,5,0.0,70.42,-70.42,46101.9,-0.15
2024-02-01,5,-320.76,69.95,-390.71,45711.19,-0.85
2024-02-02,5,0.0,68.63,-68.63,45642.56,-0.15
2024-02-05,5,-303.8,69.32,-373.12,45269.44,-0.82
2024-02-06,5,0.0,68.5,-68.5,45200.94,-0.15
2024-02-07,5,-12.54,67.14,-79.68,45121.26,-0.18
2024-02-08,5,0.0,68.31,-68.31,45052.95,-0.15
2024-02-09,5,0.0,66.99,-66.99,44985.96,-0.15
2024-02-12,5,-174.06,68.41,-242.47,44743.49,-0.54
2024-02-13,5,0.0,67.92,-67.92,44675.57,-0.15
2024-02-14,5,0.0,67.95,-67.95,44607.62,-0.15
2024-02-15,5,104.0,67.98,36.02,44643.64,0.08
2024-02-16,5,0.0,67.52,-67.52,44576.12,-0.15
2024-02-19,5,-0.0,67.86,-67.86,44508.26,-0.15
2024-02-20,5,0.0,67.23,-67.23,44441.03,-0.15
2024-02-21,5,0.0,66.25,-66.25,44374.78,-0.15
2024-02-22,5,-287.95,65.2,-353.15,44021.63,-0.8
2024-02-23,5,-305.6,65.31,-370.91,43650.72,-0.84
2024-02-26,5,0.0,66.04,-66.04,43584.68,-0.15
2024-02-27,5,0.0,65.25,-65.25,43519.43,-0.15
2024-02-28,5,0.0,65.05,-65.05,43454.38,-0.15
2024-02-29,5,0.0,66.26,-66.26,43388.12,-0.15
2024-03-01,5,0.0,66.21,-66.21,43321.91,-0.15
2024-03-04,5,-348.24,64.99,-413.23,42908.68,-0.95
2024-03-05,5,0.0,65.44,-65.44,42843.24,-0.15
2024-03-06,5,-0.0,64.82,-64.82,42778.42,-0.15
2024-03-07,5,155.63,64.71,90.92,42869.34,0.21
2024-03-11,5,0.0,65.46,-65.46,42803.88,-0.15
2024-03-12,5,-20.88,64.7,-85.58,42718.3,-0.2
2024-03-13,5,-0.0,65.1,-65.1,42653.2,-0.15
